metadata,origin:fort-sterling,destination:aspenwood
move,-130.78413,-259.8253
move,-129.441,-259.83307
move,-128.07375,-259.84265
move,-126.69441,-259.85156
move,-125.32794,-259.8983
move,-123.925545,-259.95734
move,-122.571526,-260.01422
move,-121.18123,-260.07248
move,-119.8272,-260.1293
move,-118.41272,-260.18857
move,-117.01033,-260.24734
move,-115.63186,-260.29807
move,-114.25273,-260.32425
move,-112.87335,-260.3271
move,-111.44558,-260.3225
move,-110.09041,-260.31464
move,-108.71104,-260.30664
move,-107.307465,-260.2985
move,-105.91599,-260.28934
move,-104.51252,-260.2704
move,-103.12117,-260.24817
move,-101.754105,-260.22302
move,-100.36338,-260.17676
move,-98.9729,-260.12338
move,-97.582466,-260.06863
move,-96.361,-260.02954
move,-94.96969,-260.0081
move,-93.54192,-260.01312
move,-92.32008,-260.03815
move,-90.89262,-260.06903
move,-89.62247,-260.0986
move,-88.38931,-260.1497
move,-87.144775,-260.2158
move,-85.82808,-260.292
move,-84.59749,-260.3862
move,-83.343414,-260.48984
move,-82.109665,-260.66367
move,-80.765945,-260.97284
move,-79.58432,-261.40323
move,-78.47764,-261.9744
move,-77.394966,-262.70508
move,-76.34538,-263.56183
move,-75.39609,-264.42383
move,-74.47172,-265.43076
move,-73.63308,-266.50992
move,-72.91759,-267.71637
move,-72.302444,-269.00464
move,-71.769066,-270.30267
move,-71.29748,-271.6373
move,-70.90596,-272.98495
move,-70.57254,-274.3608
move,-70.25194,-275.72726
move,-69.88846,-277.0826
move,-69.42059,-278.40576
move,-68.89811,-279.70834
move,-68.29014,-280.9865
move,-67.61169,-282.1873
move,-66.82538,-283.36395
move,-65.96658,-284.3953
move,-64.958374,-285.33542
move,-63.855877,-286.1431
move,-62.6819,-286.88986
move,-61.478184,-287.56308
move,-60.25933,-288.15512
move,-58.998333,-288.68323
move,-57.685673,-289.14438
move,-56.380203,-289.50717
move,-55.02197,-289.80936
move,-53.678303,-290.0621
move,-52.313606,-290.26212
move,-50.965057,-290.39502
move,-49.600246,-290.4765
move,-48.197083,-290.50885
move,-46.841915,-290.5117
move,-45.45048,-290.4981
move,-44.03487,-290.48236
move,-42.66814,-290.44363
move,-41.28944,-290.39963
move,-39.874454,-290.3545
move,-38.495754,-290.3105
move,-37.26218,-290.27103
move,-35.992325,-290.23056
move,-34.577343,-290.18524
move,-33.234924,-290.14246
move,-31.916693,-290.10052
move,-30.634592,-290.06506
move,-29.315727,-290.06055
move,-28.057325,-290.06458
move,-26.811026,-290.06863
move,-25.564718,-290.07257
move,-24.330519,-290.07657
move,-23.072115,-290.0806
move,-21.837914,-290.0846
move,-20.422235,-290.09036
move,-19.103354,-290.0957
move,-17.760279,-290.10342
move,-16.501904,-290.11075
move,-15.207225,-290.1183
move,-13.948847,-290.12564
move,-12.58157,-290.13354
move,-11.359491,-290.14066
move,-10.113218,-290.14917
move,-8.78225,-290.1582
move,-7.5117836,-290.16678
move,-6.253414,-290.1753
move,-5.007145,-290.1837
move,-3.760876,-290.1921
move,-2.4904094,-290.20126
move,-1.232047,-290.21097
move,0.014225671,-290.21664
move,1.2480184,-290.18573
move,2.4816847,-290.1496
move,3.8485126,-290.11432
move,5.131073,-290.10797
move,6.3530374,-290.1263
move,7.6838837,-290.1466
move,8.917946,-290.16537
move,10.152007,-290.18417
move,11.386073,-290.2026
move,12.608074,-290.218
move,13.830098,-290.23135
move,15.064219,-290.24484
move,16.298346,-290.25836
move,17.532484,-290.27182
move,18.766624,-290.28525
move,20.145952,-290.30032
move,21.501078,-290.31512
move,22.868303,-290.33005
move,24.126638,-290.34387
move,25.384974,-290.35764
move,26.631208,-290.3713
move,27.877447,-290.38498
move,29.19628,-290.3994
move,30.4788,-290.41418
move,31.725012,-290.429
move,32.97124,-290.44373
move,34.290062,-290.45944
move,35.548393,-290.4744
move,36.806725,-290.4893
move,38.186047,-290.50525
move,39.565434,-290.50735
move,40.87222,-290.5091
move,42.166897,-290.51492
move,43.38895,-290.52542
move,44.756145,-290.51477
move,46.134415,-290.46054
move,47.48615,-290.3644
move,48.835403,-290.23865
move,50.14039,-289.98254
move,51.300167,-289.5991
move,52.58927,-289.01645
move,53.606544,-288.34067
move,54.607754,-287.5013
move,55.512535,-286.61002
move,56.303333,-285.67856
move,57.09796,-284.65643
move,57.974735,-283.5916
move,58.964985,-282.58188
move,59.995255,-281.90695
move,61.130283,-281.42493
move,62.315723,-281.08435
move,63.577072,-280.85385
move,64.88619,-280.69412
move,66.138405,-280.5696
move,67.39248,-280.46616
move,68.6371,-280.4015
move,69.90616,-280.34073
move,71.16329,-280.28476
move,72.43261,-280.22986
move,73.78712,-280.18658
move,75.033295,-280.16995
move,76.30377,-280.16324
move,77.56215,-280.15784
move,78.83263,-280.1523
move,80.187805,-280.14526
move,81.47038,-280.13583
move,82.72876,-280.1263
move,83.97504,-280.11707
move,85.22131,-280.11304
move,86.44339,-280.10928
move,88.12527,-280.10147
move,89.61343,-280.07922
move,91.148796,-280.0159
move,93.62622,-279.8925
move,95.02237,-279.74927
move,96.23134,-279.57104
move,97.5855,-279.30902
move,98.828514,-278.95035
move,100.01995,-278.44473
move,101.14772,-277.8602
move,102.35748,-277.17264
move,103.536125,-276.4561
move,104.652695,-275.6678
move,105.715065,-274.75125
move,106.66653,-273.7699
move,107.54134,-272.67303
move,108.29743,-271.5054
move,108.92514,-270.29138
move,109.41296,-268.9892
move,109.725395,-267.6465
move,109.89963,-266.25406
move,109.99918,-264.86624
move,110.07361,-263.47668
move,110.146164,-262.12338
move,110.22015,-260.73386
move,110.28128,-259.3559
move,110.34056,-257.9657
move,110.39577,-256.57535
move,110.44534,-255.23318
move,110.49086,-253.86662
move,110.53668,-252.47588
move,110.57048,-251.09694
move,110.58434,-249.76599
move,110.58353,-248.38655
move,110.57439,-247.01935
move,110.55662,-245.64015
move,110.50921,-244.26155
move,110.4623,-242.85872
move,110.421165,-241.492
move,110.38161,-240.11313
move,110.34738,-238.70996
move,110.321236,-237.33081
move,110.29939,-235.95158
move,110.284874,-234.53596
move,110.30247,-233.13248
move,110.360306,-231.76656
move,110.42826,-230.3646
move,110.49511,-228.9868
move,110.57045,-227.6095
move,110.66833,-226.22145
move,110.7772,-224.84637
move,110.91266,-223.46153
move,111.10875,-222.1209
move,111.43604,-220.79399
move,111.895004,-219.46786
move,112.42054,-218.2189
move,113.07585,-216.96483
move,113.761215,-215.96854
move,114.61865,-214.96744
move,115.587875,-214.05585
move,116.55736,-213.27322
move,117.59149,-212.57838
move,118.677216,-211.96695
move,119.80759,-211.44315
move,120.97403,-211.04103
move,122.20322,-210.72064
move,123.49866,-210.47345
move,124.75526,-210.28648
move,126.07823,-210.14178
move,127.34531,-210.04973
move,128.65016,-209.97885
move,129.96713,-209.90758
move,131.2962,-209.83565
move,132.55276,-209.76775
move,133.92984,-209.68777
move,135.1479,-209.58955
move,136.40833,-209.43121
move,137.62112,-209.20354
move,138.80023,-208.88387
move,140.1096,-208.37964
move,141.34085,-207.7338
move,142.30774,-207.00845
move,143.31042,-206.0271
move,144.22743,-204.96477
move,145.1341,-203.87752
move,146.05234,-202.81645
move,147.10765,-201.91364
move,148.33112,-201.20515
move,149.6368,-200.7292
move,150.98997,-200.40698
move,152.37524,-200.18341
move,153.77246,-200.05081
move,155.16115,-199.96294
move,156.53998,-199.92464
move,157.9313,-199.9076
move,159.2985,-199.896
move,160.68987,-199.88414
move,161.89973,-199.87387
move,163.30318,-199.86168
move,164.69455,-199.84808
move,166.08592,-199.83452
move,167.5015,-199.8225
move,168.90498,-199.80693
move,170.13905,-199.78986
move,171.5425,-199.76788
move,172.77643,-199.74594
move,173.99745,-199.79121
move,175.2122,-199.92142
move,176.4497,-200.14713
move,177.80795,-200.54411
move,178.96346,-201.01
move,180.20105,-201.67003
move,181.21378,-202.39531
move,182.27716,-203.34732
move,183.26617,-204.39345
move,184.0614,-205.3372
move,184.83527,-206.28307
move,185.76724,-207.38033
move,186.82533,-208.29895
move,187.90071,-208.90147
move,189.2236,-209.40321
move,190.39906,-209.73727
move,191.78438,-210.02676
move,192.99783,-210.17111
move,194.4096,-210.2743
move,195.8128,-210.2982
move,197.03485,-210.28722
move,198.29312,-210.27081
move,199.69656,-210.26048
move,200.93074,-210.25537
move,202.3462,-210.23125
move,203.5674,-210.18509
move,204.78674,-210.10373
move,205.98856,-209.96541
move,207.37053,-209.66228
move,208.70764,-209.19948
move,209.82848,-208.71255
move,211.1207,-208.16478
move,212.25012,-207.66739
move,213.47195,-206.97928
move,214.44511,-206.2404
move,215.5253,-205.307
move,216.52525,-204.32246
move,217.32181,-203.39635
move,218.1114,-202.20798
